cellule,Z_biapy,X_biapy,Y_biapy,Z_gcamp,X_gcamp,Y_gcamp,distance_3D
28,56.7125677562139,946.5,1010.5,53.6616259837106,946.137105028414,1012.06625154762,3.44863485600202
29,64.9359657018327,720,1025.75,50.6938497430061,726.904960056773,1026.27753885186,15.8364970119822
30,50.5651805915887,861,1060.25,50.9906306151723,859.368689791406,1061.04783563808,1.86513335303997
31,48.6369719390694,845,1018.75,52.2574387319602,844.282157704979,1019.40365629582,3.74837883784585
32,63.1652573089277,762,958.5,53.4297213432167,762.137330524942,958.543056980635,9.73659972045239
33,57.3997206085713,974.5,934.75,56.6038583165517,975.708290923529,936.499128823828,2.26998136249773
34,53.6680165690958,719,967,52.6947883967898,718.436686646708,965.529353298901,1.8512959592729
35,64.8981379965796,947,898.75,57.5464882807628,948.988499728408,900.438970117061,7.8008656423676
36,63.5740710095063,967.75,890.25,58.07384767137,969.75966819039,891.959729641155,6.10036051809144
37,50.9800427310789,799,1052.25,50.5691563000914,797.378747049848,1052.96390535461,1.81850203268816
38,59.6524070361006,966.75,964.75,55.4894710945681,968.218996302324,966.335593117703,4.69063869046108
39,55.7817875780772,761.75,980.25,52.6815954727914,760.516985140814,979.688908918635,3.38324399566991
40,63.3095513371907,752.5,1064.5,49.6627804395023,751.634852972022,1064.24865546093,13.6764764976706
41,55.8914628785939,851,1047.75,51.3161678906812,846.383092394299,1047.36409826777,6.51138082229431
42,58.3214273469591,899.5,1072.25,50.9297206737936,896.714737775589,1075.03993707969,8.3772765329478
43,61.9861993889307,749.25,972,52.8083346122582,746.506903353612,971.429770505753,9.59598576209977
44,51.2540863629738,800.75,1038.5,51.0950985652128,799.385528865601,1038.38217059021,1.37874666500246
45,44.6330457521503,835.25,1069.25,50.3957040735266,834.286713840393,1070.07340138248,5.90035092099544
46,48.8904307343029,789.25,1046.25,50.6971949164212,787.800602075615,1046.11815397931,2.32002899252787
47,55.2644427855938,822,1026.75,51.4788833678623,820.991315717857,1034.33614960139,8.53800737062526
48,57.5784392955144,730.5,921.5,54.3141291468141,730.035181045686,922.407628654203,3.41987824068748
49,54.4223398343546,827.5,1033.75,51.5758013784099,826.719116458879,1033.40333687102,2.9719918591676
50,57.4728899517517,750.75,894,55.5053152418893,750.798283764555,894.691888571379,2.08623856641924
51,57.1782658115338,792.5,1120.5,48.1763080822952,791.55700576102,1120.38874102332,9.05189812435163
52,57.2757710473743,739.75,914.5,54.6871852704516,739.577562730061,914.722843323834,2.60387597314612
53,59.7312170241877,749,1077.75,49.2014549676256,747.373341533437,1076.21995945221,10.7639644561171
54,44.222664609606,804.5,1063.5,50.3050475189339,803.144006813553,1062.50382542395,6.31082111641152
55,59.4837291540333,782.25,1033.5,51.0472472052746,780.89990666025,1033.71634075433,8.54656556868042
56,59.1998957102782,952.75,891.25,57.870453653894,954.196239473257,892.757367302034,2.47612216551026
57,48.4967778581984,876,1028.75,52.4082160238998,881.289179656202,1027.15128712372,6.76983403197361
58,59.1576993006185,777.75,940.75,54.0223604390828,780.027268555399,947.229058865251,8.57530530509499
59,58.9706496132769,782.75,877.75,56.4156975969641,782.809113116065,878.794779090742,2.76094866207322
60,61.5546163360351,737.5,997,51.7811460628329,735.915862332004,997.724194214691,9.92747050325119
61,60.1667426245176,753,1005.75,51.8565737036015,751.806508080825,1000.74141459245,9.77595306044491
62,50.4350422032903,819,1050.75,50.884670620451,818.225750591842,1050.64753865455,0.901180440790954
63,57.360618360257,791.75,999.25,52.5656188816118,789.864611016682,992.657799856942,8.36682821293491
64,58.2433504268807,855.5,1032.5,51.945828563041,852.527588506258,1031.13191232043,7.09687787781842
65,54.5470084880525,847.75,1005.5,52.6179210088011,844.316410701106,1008.9701792628,5.2491006936499
66,60.7676068155254,783.5,1014,51.8041306257316,780.765424710191,1011.74220638437,9.63947298514933
67,59.7044954409323,771.75,1027.25,51.0464782361264,775.564162727532,1031.99167168289,10.5826532391064
68,60.7350273868589,794,1051,50.3198664853714,788.321614332321,1057.22153176769,13.395040049627
69,50.5091254762743,758.5,956,53.4369015688221,757.022970128021,956.660548298167,3.34511795681763
70,57.599105543549,808.5,1038.75,51.4215739898904,814.093464803988,1033.73825292448,9.72452329725467
71,53.9560279857774,886.75,1071,50.9203361347346,880.212895919149,1069.90906088194,7.289670975955
72,60.0965611307165,963.75,867,59.0862820459792,966.539297625999,861.570871102074,6.18678314358627
73,48.5208172894518,795.5,974.5,53.3048034899237,794.083413930377,972.621762025773,5.33113664679336
74,58.643334357754,880.75,1003.75,53.2019486267715,880.168783731573,1003.78668336938,5.47246166671021
75,58.8995249855929,780.25,1094.25,48.9533341792644,779.148771881289,1093.81250037864,10.0165273844792
76,40.6351854999568,921.5,1075.5,51.0860794637732,922.112058541956,1078.8247739221,10.9840758343507
77,58.9952655587933,753,1013.5,51.1391118732856,744.779226646162,1019.22854197784,12.7324961597228
78,51.4165483366786,919.5,1047.25,52.027940056355,911.769449118026,1048.14887868483,7.80661256011288
79,50.7802475173579,732.25,1003.25,51.5083329565747,731.287539380944,1004.11340412745,1.4838819148869
80,65.7290771887053,753.25,1026.25,50.9438429589438,746.325384708604,1025.39252574483,16.3489666419937
81,58.3895479047083,702.75,968.75,52.4221312842852,701.862806598512,968.003008051766,6.07907642854331
82,61.0578923870142,763.75,1022,51.4291321805119,762.060355960285,1016.48335921726,11.2250276445542
83,45.6755608801417,904.75,974.25,54.4507304322556,905.293533775647,975.830177918098,8.93286022987359
84,69.5904789778239,983,872,59.2172129427584,987.822390112701,864.745442241284,13.5458001944464
85,51.232672157639,718.75,957.5,52.9269484012364,716.951509961277,958.316444698797,2.60225293835889
86,54.2616229484986,848.25,933.5,55.2474006670328,847.970538864451,933.979445521856,1.13124897572045
87,59.7463920831269,895.25,1068.25,51.0410540888293,893.877220129583,1070.88512105487,9.19843992975938
88,56.3669260136238,788.25,969,53.3582854125827,786.390213823008,968.553372867843,3.56513655917134
89,49.1888383886149,941.5,1082.5,51.1158684773972,938.095966523182,1083.19487229954,3.97287507820797
90,45.1682015577108,799,998.75,52.4626970573121,796.109024162389,997.684331318288,7.91852610190415
91,62.4388920307456,860,884.5,57.0460707191277,862.221810044312,886.530327238893,6.1758554281198
92,53.9565581992875,830,918.5,55.5192016710722,829.532445973462,920.067500132767,2.26219319552243
93,41.9140911838425,917.5,1065,51.4754021215788,919.736319816991,1066.76662605068,9.97701161545301
94,57.875726997923,763.5,964,53.2240870858161,763.044432592833,964.798138303628,4.74155251854248
95,56.7756514837031,793,1024.5,51.4768928858411,791.433522558983,1024.71645239181,5.52969672672477
96,56.6465250753985,772.5,1012,51.6716151824937,770.096168679001,1012.0885695772,5.52593684657567
97,57.670391163286,770.5,1117,48.0525855764302,769.627815623368,1116.79377678862,9.65947296213972
98,54.7568968043461,952,925,56.6882544831067,952.8500620227,926.569917102619,2.63009270460925
99,56.0098828450477,765.5,914.5,54.9730456550647,764.866929315086,914.720128148554,1.23461178206569
100,49.1005074792442,944,1037.75,52.7492350635033,943.358629911194,1037.59237715931,3.70802016376051
101,48.9009133311007,925.5,1024.25,53.207140528416,925.544058304323,1018.49234477509,7.1900019122396
102,59.5865942386638,955.25,951.5,55.8550739327767,957.862124597657,952.351645436679,4.63386864906096
103,58.1918131053758,907,916.25,56.4773942637614,908.128916772108,918.037499343482,2.72191824744569
104,62.3336416305938,812,879.25,56.6803131353642,810.544428714092,880.208432681265,5.915860381031
105,57.2589525855676,823.25,895.25,56.2422554893728,823.409377844472,897.112858810322,2.12821926264979
106,48.8260461945778,810.75,1031.25,51.4820860301167,808.70519936762,1030.22081879873,3.50641856873773
107,51.4257072760864,841.25,1034.25,51.6734812518541,840.951652907032,1035.23294292618,1.05668336178904
108,50.8883258818421,940.25,1072.5,51.4319332828657,943.8227537272,1075.91212098856,4.97017583614855
109,56.8334278618532,909.75,1115,49.959019721247,909.460900409131,1107.33839454592,10.2976339025579
110,55.1334299277602,841.75,1040,51.6432456131962,837.00038892248,1034.81533321045,7.84990201569301
111,54.4335528135675,730,959.75,53.0035611170833,729.184833196376,960.101902702733,1.68321379567066
112,61.4382986609371,747.75,1055,49.9572075603592,746.955889421733,1054.18594407835,11.5372766073222
113,59.881922971002,770.5,1035.25,50.8760910762173,768.822964968084,1034.72140420246,9.17588514163997
114,56.3023389465004,780,1066.5,49.8890488452801,778.51743677871,1066.49419851569,6.58242487877775
115,46.2514993221278,888,1058.25,51.4709883919559,887.646194469707,1056.38804227105,5.55293895947943
